X,Y,Z                    Magnitude
2.64E-19,-0.003332110662,0.0383159686709113       2.6773854904457033
6.01E-19,-0.006665858309,0.038231153677102614     3.059880333692174
8.47E-20,-0.009999496205,0.038147017559492305     3.699111593506805
1.81E-19,-0.01333305363,0.038063379181557055     4.712596866100975
2.07E-19,-0.01666655031,0.03798011658425784      6.110349082655796
-4.85E-20,-0.006664118926,0.04857784571164481      1.595435487022795
6.01E-19,-0.006665858309,0.048577283821970366     1.5953973780854425
6.01E-19,-0.006665858309,0.04858162956974588      1.595390088043148
3.31E-19,-0.009998343909,0.04849489395571002      1.686954844128655
8.47E-20,-0.009999496205,0.04849455232117721      1.6869687215510876
8.49E-20,-0.009999496205,0.04849749345213555      1.687044852408665
8.04E-20,-0.01333236592,0.04841225732045598      1.9984574087864935
1.81E-19,-0.01333305363,0.048412068708508        1.9985355536199418
1.81E-19,-0.01333305363,0.048413855074200304     1.998582048370724
3.86E-19,-0.01666623913,0.04832985171869458      2.74804537563193
2.07E-19,-0.01666655031,0.0483297722449883       2.7481241672324708
2.07E-19,-0.01666655031,0.04833059247690107      2.748113582419115
3.32E-19,-0.009998343909,0.05884536984835327      0.9809389329685669
8.51E-20,-0.009999496205,0.05884502821382046      0.9810126759847168
8.51E-20,-0.009999496205,0.058847969344778796     0.9808570820033937
8.08E-20,-0.01333236592,0.05876273321309923      0.8179736370388674
1.81E-19,-0.01333305363,0.05876254460115124      0.8180276029122995
1.81E-19,-0.01333305363,0.05876433096684355      0.8180139520174705
3.86E-19,-0.01666623913,0.05868032761133784      0.9475966370237201
2.07E-19,-0.01666655031,0.05868024813763154      0.9476288900620858
2.07E-19,-0.01666655031,0.05868106836954432      0.9476510079047603
8.06E-20,-0.01333236592,0.06911320910574247      0.8876334287890162
1.81E-19,-0.01333305363,0.06911302049379447      0.887778659788626
1.81E-19,-0.01333305363,0.06911480685948679      0.8877548082142731
3.86E-19,-0.01666623913,0.0690308035039811       1.0891799942353486
2.07E-19,-0.01666655031,0.0690307240302748       1.089242190231804
2.07E-19,-0.01666655031,0.06903154426218758      1.0892159181859369
3.86E-19,-0.01666623913,0.07938127939662433      1.2886026342019086
2.07E-19,-0.01666655031,0.07938119992291805      1.288651892205418
2.07E-19,-0.01666655031,0.07938202015483081      1.2886907223568376
-4.85E-20,-0.006664118926,0.04857297222471095      1.5952421719359615
3.31E-19,-0.009998343909,0.04849163430272915      1.686982663762899
